Owner,Repo,Stars,Forks,Language,URL
huggingface,allennlp,6,2,,https://github.com/huggingface/allennlp
huggingface,alpaca_eval,3,2,Jupyter Notebook,https://github.com/huggingface/alpaca_eval
huggingface,amazon-eks-ami,2,2,Shell,https://github.com/huggingface/amazon-eks-ami
huggingface,amused,86,5,Python,https://github.com/huggingface/amused
huggingface,api-inference-community,170,68,Python,https://github.com/huggingface/api-inference-community
huggingface,arena-hard,2,0,,https://github.com/huggingface/arena-hard
huggingface,arena-hard-auto,0,1,,https://github.com/huggingface/arena-hard-auto
huggingface,audio-transformers-course,453,142,MDX,https://github.com/huggingface/audio-transformers-course
huggingface,Auth0-Social-Connection,0,2,JavaScript,https://github.com/huggingface/Auth0-Social-Connection
huggingface,autogptq-index,8,4,HTML,https://github.com/huggingface/autogptq-index
huggingface,autotrain-advanced,4502,619,Python,https://github.com/huggingface/autotrain-advanced
huggingface,autotrain-advanced-api,4,3,Dockerfile,https://github.com/huggingface/autotrain-advanced-api
huggingface,autotrain-example-datasets,3,3,,https://github.com/huggingface/autotrain-example-datasets
huggingface,awd-lstm-lm,10,6,Python,https://github.com/huggingface/awd-lstm-lm
huggingface,awesome-huggingface,994,92,,https://github.com/huggingface/awesome-huggingface
huggingface,awesome-papers,2050,118,,https://github.com/huggingface/awesome-papers
huggingface,bench_cluster,5,2,Python,https://github.com/huggingface/bench_cluster
huggingface,bert-syntax,40,11,Python,https://github.com/huggingface/bert-syntax
huggingface,better-auth,0,0,TypeScript,https://github.com/huggingface/better-auth
huggingface,bitsandbytes_testing,0,1,Python,https://github.com/huggingface/bitsandbytes_testing
huggingface,block_movement_pruning,81,16,Python,https://github.com/huggingface/block_movement_pruning
huggingface,blog,3135,918,Jupyter Notebook,https://github.com/huggingface/blog
huggingface,bloom-jax-inference,67,9,Python,https://github.com/huggingface/bloom-jax-inference
huggingface,boomtitan,4,2,Python,https://github.com/huggingface/boomtitan
huggingface,candle,18223,1239,Rust,https://github.com/huggingface/candle
huggingface,candle-cublaslt,12,10,Rust,https://github.com/huggingface/candle-cublaslt
huggingface,candle-extensions,2,3,C++,https://github.com/huggingface/candle-extensions
huggingface,candle-flash-attn-v1,10,3,C++,https://github.com/huggingface/candle-flash-attn-v1
huggingface,candle-layer-norm,4,10,Cuda,https://github.com/huggingface/candle-layer-norm
huggingface,candle-paged-attention,12,4,Cuda,https://github.com/huggingface/candle-paged-attention
huggingface,candle-rotary,10,10,Rust,https://github.com/huggingface/candle-rotary
huggingface,candle-silu,4,1,Rust,https://github.com/huggingface/candle-silu
huggingface,chat-macOS,1982,87,Swift,https://github.com/huggingface/chat-macOS
huggingface,chat-template-playground,10,0,TypeScript,https://github.com/huggingface/chat-template-playground
huggingface,chat-ui,9187,1423,TypeScript,https://github.com/huggingface/chat-ui
huggingface,chat-ui-android,20,3,Kotlin,https://github.com/huggingface/chat-ui-android
huggingface,chug,159,11,Python,https://github.com/huggingface/chug
huggingface,collaborative-training-auth,5,4,Python,https://github.com/huggingface/collaborative-training-auth
huggingface,community-events,426,97,Jupyter Notebook,https://github.com/huggingface/community-events
huggingface,competitions,124,13,Python,https://github.com/huggingface/competitions
huggingface,computer-vision-course,715,223,Jupyter Notebook,https://github.com/huggingface/computer-vision-course
huggingface,controlnet_aux,461,102,Python,https://github.com/huggingface/controlnet_aux
huggingface,cookbook,2275,352,Jupyter Notebook,https://github.com/huggingface/cookbook
huggingface,coreml-examples,241,24,Jupyter Notebook,https://github.com/huggingface/coreml-examples
huggingface,cosmopedia,541,50,Python,https://github.com/huggingface/cosmopedia
huggingface,course,3382,1133,MDX,https://github.com/huggingface/course
huggingface,dana,2,2,JavaScript,https://github.com/huggingface/dana
huggingface,data-is-better-together,263,27,Jupyter Notebook,https://github.com/huggingface/data-is-better-together
huggingface,data-measurements,4,0,Python,https://github.com/huggingface/data-measurements
huggingface,data-measurements-tool,75,17,Python,https://github.com/huggingface/data-measurements-tool
huggingface,datablations,342,18,Jupyter Notebook,https://github.com/huggingface/datablations
huggingface,dataset-dedupe-estimator,15,0,Jupyter Notebook,https://github.com/huggingface/dataset-dedupe-estimator
huggingface,dataset-viewer,809,96,Python,https://github.com/huggingface/dataset-viewer
huggingface,datasets,20706,2965,Python,https://github.com/huggingface/datasets
huggingface,datasets-course,7,0,MDX,https://github.com/huggingface/datasets-course
huggingface,datasets-tagging,22,18,Python,https://github.com/huggingface/datasets-tagging
huggingface,datasets-viewer,85,14,Python,https://github.com/huggingface/datasets-viewer
huggingface,dataspeech,378,60,Python,https://github.com/huggingface/dataspeech
huggingface,datatrove,2653,225,Python,https://github.com/huggingface/datatrove
huggingface,dedupe_estimator,17,5,C++,https://github.com/huggingface/dedupe_estimator
huggingface,deep-rl-class,4538,723,MDX,https://github.com/huggingface/deep-rl-class
huggingface,dell-ai,4,1,Python,https://github.com/huggingface/dell-ai
huggingface,dell-helm-chart,3,1,Smarty,https://github.com/huggingface/dell-helm-chart
huggingface,diarizers,311,23,Python,https://github.com/huggingface/diarizers
huggingface,diff2html,6,3,TypeScript,https://github.com/huggingface/diff2html
huggingface,diffusers,30972,6371,Python,https://github.com/huggingface/diffusers
huggingface,diffusers_all,10,2,,https://github.com/huggingface/diffusers_all
huggingface,diffusion-fast,228,15,Python,https://github.com/huggingface/diffusion-fast
huggingface,diffusion-models-class,4144,462,Jupyter Notebook,https://github.com/huggingface/diffusion-models-class
huggingface,disaggregators,67,5,Python,https://github.com/huggingface/disaggregators
huggingface,discord-bots,51,6,Python,https://github.com/huggingface/discord-bots
huggingface,distil-whisper,3950,340,Python,https://github.com/huggingface/distil-whisper
huggingface,distill-bloom-deepspeed,19,5,Python,https://github.com/huggingface/distill-bloom-deepspeed
huggingface,distribution-v2,1,1,,https://github.com/huggingface/distribution-v2
huggingface,doc-build-dev,2,4,,https://github.com/huggingface/doc-build-dev
huggingface,doc-builder,129,40,Python,https://github.com/huggingface/doc-builder
huggingface,docmatix,20,3,Python,https://github.com/huggingface/docmatix
huggingface,duc,1,2,,https://github.com/huggingface/duc
huggingface,education-toolkit,374,75,Jupyter Notebook,https://github.com/huggingface/education-toolkit
huggingface,efficient_scripts,10,4,Python,https://github.com/huggingface/efficient_scripts
huggingface,egl_probe,0,0,C,https://github.com/huggingface/egl_probe
huggingface,ember,18,5,Python,https://github.com/huggingface/ember
huggingface,envhub,0,0,Python,https://github.com/huggingface/envhub
huggingface,environments,8,0,Python,https://github.com/huggingface/environments
huggingface,ethics-education,10,2,,https://github.com/huggingface/ethics-education
huggingface,ethics-scripts,14,10,Python,https://github.com/huggingface/ethics-scripts
huggingface,evaluate,2329,295,Python,https://github.com/huggingface/evaluate
huggingface,evaluation-guidebook,1650,92,Jupyter Notebook,https://github.com/huggingface/evaluation-guidebook
huggingface,exporters,677,52,Python,https://github.com/huggingface/exporters
huggingface,FastChat,12,4,Python,https://github.com/huggingface/FastChat
huggingface,feel,14,6,Python,https://github.com/huggingface/feel
huggingface,finetrainers,1282,135,Python,https://github.com/huggingface/finetrainers
huggingface,fineVideo,87,4,Python,https://github.com/huggingface/fineVideo
huggingface,fineweb-2,194,9,Python,https://github.com/huggingface/fineweb-2
huggingface,flappy-bird-gym,7,3,Python,https://github.com/huggingface/flappy-bird-gym
huggingface,flax_bert,1,3,Python,https://github.com/huggingface/flax_bert
huggingface,flux-fast,143,11,Python,https://github.com/huggingface/flux-fast
huggingface,frp,176,28,Go,https://github.com/huggingface/frp
huggingface,fuego,85,9,Python,https://github.com/huggingface/fuego
huggingface,gaia,19,7,Jupyter Notebook,https://github.com/huggingface/gaia
huggingface,gguf-jinja-analysis,7,2,Rust,https://github.com/huggingface/gguf-jinja-analysis
huggingface,Google-Cloud-Containers,155,26,Dockerfile,https://github.com/huggingface/Google-Cloud-Containers
huggingface,gorilla,2,0,Python,https://github.com/huggingface/gorilla
huggingface,gpt-oss-recipes,455,48,Jupyter Notebook,https://github.com/huggingface/gpt-oss-recipes
huggingface,gpu-fryer,282,14,Rust,https://github.com/huggingface/gpu-fryer
huggingface,gsplat.js,1529,102,TypeScript,https://github.com/huggingface/gsplat.js
huggingface,gym-aloha,157,46,Python,https://github.com/huggingface/gym-aloha
huggingface,gym-games,9,4,,https://github.com/huggingface/gym-games
huggingface,gym-genesis,29,5,Python,https://github.com/huggingface/gym-genesis
huggingface,gym-hil,152,27,Python,https://github.com/huggingface/gym-hil
huggingface,gym-pusht,135,22,Python,https://github.com/huggingface/gym-pusht
huggingface,gym-xarm,71,18,Python,https://github.com/huggingface/gym-xarm
huggingface,helm-common,6,2,Mustache,https://github.com/huggingface/helm-common
huggingface,helm-publish-action,5,2,,https://github.com/huggingface/helm-publish-action
huggingface,hf-endpoints-documentation,20,16,,https://github.com/huggingface/hf-endpoints-documentation
huggingface,hf-endpoints-emulator,26,7,Python,https://github.com/huggingface/hf-endpoints-emulator
huggingface,hf-hub,231,99,Rust,https://github.com/huggingface/hf-hub
huggingface,hf-nix,21,6,Nix,https://github.com/huggingface/hf-nix
huggingface,hf-rocm-benchmark,8,3,Python,https://github.com/huggingface/hf-rocm-benchmark
huggingface,hf-rocm-kernels,21,3,Python,https://github.com/huggingface/hf-rocm-kernels
huggingface,hf-workflows,7,12,,https://github.com/huggingface/hf-workflows
huggingface,hfapi,75,11,Python,https://github.com/huggingface/hfapi
huggingface,hfendpoints,10,3,Rust,https://github.com/huggingface/hfendpoints
huggingface,hffs,58,7,Python,https://github.com/huggingface/hffs
huggingface,hf_benchmarks,15,3,Python,https://github.com/huggingface/hf_benchmarks
huggingface,hf_transfer,511,37,Rust,https://github.com/huggingface/hf_transfer
huggingface,hmtl,1195,149,Python,https://github.com/huggingface/hmtl
huggingface,hub-docs,454,362,Handlebars,https://github.com/huggingface/hub-docs
huggingface,hub-js-utils,0,2,JavaScript,https://github.com/huggingface/hub-js-utils
huggingface,hugex,7,2,TypeScript,https://github.com/huggingface/hugex
huggingface,huggingface-gemma-recipes,268,45,Jupyter Notebook,https://github.com/huggingface/huggingface-gemma-recipes
huggingface,huggingface-inference-toolkit,87,23,Python,https://github.com/huggingface/huggingface-inference-toolkit
huggingface,huggingface-llama-recipes,682,80,Jupyter Notebook,https://github.com/huggingface/huggingface-llama-recipes
